56-3214,4089562.129,1453982.123,4658120.790,689737.970,207948.490,135.210
74-4309,4082622.857,1362767.572,4691666.376,605789.360,257391.400,299.630
45-1011A,4118540.182,1412380.026,4645486.648,640960.620,189230.550,155.760
76-3401,4049854.058,1443486.558,4695670.482,692778.360,263510.920,134.220
45-1230,4117837.765,1416866.505,4644671.578,645430.250,188089.540,99.860
75-2111,4044172.222,1405797.818,4711924.179,659009.170,287520.550,177.470
54-4240,4118365.018,1384325.263,4653963.081,614501.380,201828.130,112.490
66-4314,4072090.725,1459494.841,4671568.055,700650.720,227880.660,117.390
54-2108,4109890.209,1369351.906,4665835.795,603114.680,219356.550,146.070
56-2363,4083467.181,1458951.593,4661940.684,696423.770,213580.480,174.680
76-3011,4045889.444,1440051.544,4700173.429,690825.530,270142.240,180.500
45-1105,4121591.036,1399300.761,4646680.158,627602.920,191057.270,118.730
54-4016B,4120730.702,1389765.244,4650295.994,618871.140,196393.680,130.810
66-4001,4063935.202,1458853.145,4678816.809,702706.240,238615.000,118.180
56-3421,4098806.169,1451361.301,4650858.221,684244.080,197231.330,136.360
85-3001,4048625.729,1389966.641,4713815.446,642592.240,289497.980,938.260
45-1001,4122228.045,1406462.095,4644063.865,634163.830,187123.530,187.170
66-2119,4055161.350,1455417.773,4687433.193,702323.200,251376.480,118.160
64-3241,4100461.520,1359710.041,4676977.209,597078.440,235772.900,229.470
76-1021,4042736.981,1436333.499,4704073.908,688340.020,275868.630,237.860
76-4349,4050871.869,1452044.414,4692185.035,700534.840,258387.520,140.910
66-4134,4067077.781,1462022.916,4675104.841,704676.590,233154.690,106.880
76-1105,4040079.649,1419954.385,4711395.354,673725.520,286607.700,326.430
85-3020,4052394.717,1379929.775,4712563.810,631874.160,288446.270,222.850
46-10011,4106410.734,1446148.090,4645796.038,676835.140,189766.790,129.370
66-2315,4059081.999,1459641.268,4682750.727,705035.430,244464.800,114.580
64-1400,4096998.906,1357096.662,4680668.204,595737.570,241307.890,173.780
64-3402,4107602.032,1361624.389,4670359.075,596559.020,225866.040,349.930
56-3232,4093607.073,1458110.049,4653310.824,692319.540,200887.140,137.680
54-2343,4117358.773,1370888.316,4658832.367,602129.670,209051.320,139.130
56-2055,4077631.960,1464950.260,4665047.526,703998.620,218301.560,103.660
64-1422,4096150.978,1355171.823,4681950.134,594194.800,243227.800,167.160
74-4315,4080074.794,1356018.756,4695774.654,600241.250,263566.030,274.600
85-4019,4041194.935,1398767.994,4716647.067,653335.920,294477.280,258.920
64-1012,4090919.574,1354262.459,4686784.306,595042.300,250357.840,190.850
45-2324,4122415.582,1422294.144,4638982.429,649066.360,179750.070,96.720
45-2321,4119082.119,1431056.674,4639245.045,658436.230,180142.090,95.480
Tata,4086419.644,1353716.700,4690780.461,595994.199,256324.738,147.993
Szekesfehervar,4119980.683,1372039.033,4656178.896,602361.590,205154.821,128.987
76-4128,4045561.115,1451652.396,4696913.790,701897.690,265377.140,184.760
44-2231,4126600.827,1394573.473,4643674.554,621499.950,186672.990,118.820
86-3305,4036178.269,1416989.373,4715441.029,672196.870,292774.400,207.100
45-2419,4115212.089,1440652.234,4639711.852,668768.590,180845.480,99.460
45-1402,4126882.859,1411007.791,4638525.349,636941.100,179044.100,143.890
85-3057,4045864.514,1382386.517,4717454.009,636327.370,295709.960,248.500
76-4017,4048971.749,1458903.520,4691681.616,707638.530,257720.880,127.000
54-4061,4125881.264,1380467.728,4648499.728,608402.510,193827.610,123.010
64-3261,4101440.741,1352303.591,4678211.665,589757.940,237706.020,195.960
45-1309,4128608.030,1399859.493,4640351.901,625841.130,181758.000,141.260
54-1206,4114154.508,1359763.151,4664921.684,592660.180,218074.060,170.440
56-2020,4083910.941,1468118.157,4658591.151,704943.640,208802.210,98.550
54-4173,4123451.585,1371466.788,4653282.426,600687.950,200916.990,120.850
86-33401,4033786.085,1425909.418,4714813.466,681409.240,291870.800,214.750
46-1229,4103420.491,1458410.934,4644623.815,689401.430,188107.830,137.680
44-2137,4128781.247,1384691.346,4644670.732,611448.040,188203.800,106.940
66-4263,4063171.338,1470427.272,4675858.430,713895.490,234363.380,105.430
64-1001,4093843.220,1348041.232,4686066.268,588208.080,249331.810,217.620
85-4135,4038221.973,1392162.659,4720968.396,648062.460,301059.400,149.590
74-3436,4086399.284,1348010.222,4692425.954,590606.710,258823.310,144.950
54-3201,4120678.425,1363473.118,4658058.479,594037.450,207998.850,124.310
66-4421,4068138.250,1472048.947,4671056.029,713806.990,227267.760,103.010
46-1318,4111241.175,1451997.032,4639719.938,680787.140,180888.360,117.230
86-3062,4033399.546,1433726.317,4712884.232,688923.730,288955.040,287.230
56-4001,4093656.768,1467339.954,4650387.259,701027.140,196656.390,139.690
85-4221,4033205.146,1406309.926,4721062.647,663072.870,301215.080,149.350
Jaszbereny,4058219.364,1470670.802,4680054.547,715742.171,240590.136,107.238
56-4178,4088405.122,1470308.488,4653992.653,705547.140,202036.930,102.510
64-3348,4111247.745,1352138.523,4669701.425,586402.160,225162.720,196.300
45-4231,4122500.638,1436882.259,4634439.355,662826.840,173111.460,96.610
44-2439,4132241.543,1393033.692,4639168.188,618203.750,180068.330,132.840
45-3200,4130417.380,1415751.366,4633932.514,640271.010,172336.670,122.040
86-3001,4016315.445,1424550.113,4729965.086,687675.500,292826.230,517.520
56-2001,4075653.329,1474820.843,4663673.847,713974.060,216376.940,102.540
66-2055,4053099.026,1470066.132,4684632.372,716842.320,247396.280,95.380
76-2114,4033092.374,1444394.308,4709740.275,699108.260,284478.570,162.340
66-2437,4056541.807,1472926.850,4680773.879,718422.480,241702.070,92.190
46-3127,4116710.873,1449751.709,4635581.615,676880.110,174821.170,105.110
54-1318,4119041.754,1355527.663,4661967.387,587062.750,213691.740,248.310
45-3116,4133892.810,1402142.686,4635020.677,626274.500,173924.470,163.190
76-4406,4043312.009,1463636.964,4695045.523,713960.550,262798.320,113.150
45-4057,4128711.784,1428472.485,4631536.871,652851.210,168845.760,102.490
76-2435,4037187.281,1457175.902,4702359.401,709852.570,273562.280,177.880
44-2125,4132170.078,1376135.038,4644230.938,602255.010,187603.650,127.150
85-4265,4028729.887,1412937.285,4722883.677,670798.280,303969.740,143.130
54-30021,4129249.920,1367896.687,4649357.192,595422.120,195084.160,223.310
66-2202,4046905.152,1469339.374,4690182.719,718177.490,255636.870,101.460
44-2319,4134283.260,1383426.198,4640171.587,608456.560,181634.420,99.580
54-1120,4116372.048,1350270.722,4665797.897,582964.840,219404.140,229.540
64-1074,4101984.263,1342672.651,4680523.086,580477.310,241205.340,218.010
64-1011,4094212.776,1341324.392,4687584.634,581737.750,251715.810,162.170
54-30522,4123879.414,1357123.008,4657116.073,586991.010,206659.140,145.830
46-1442,4111994.461,1459088.765,4636858.248,687244.310,176723.650,126.210
54-3260,4127549.950,1361251.885,4652647.034,589695.420,200088.910,116.550
67-3309,4065834.278,1479470.858,4670702.124,721574.420,226847.920,90.400
74-3306,4085765.959,1339856.960,4695267.756,583105.970,263145.860,126.880
45-3001,4133790.515,1421572.850,4629174.357,644672.420,165370.770,123.690
86-3206,4026232.765,1429769.657,4720125.439,687523.760,299794.410,261.790
86-3105,4025903.954,1422059.370,4722619.223,680343.440,303564.840,189.010
64-3134,4108421.908,1342608.159,4674967.441,578316.280,232981.710,245.740
46-2168,4099668.565,1471748.854,4643710.514,703232.800,186895.430,119.450
56-4416,4091504.811,1476438.818,4649360.596,710329.990,195272.490,105.260
45-4411,4127296.229,1440357.383,4629123.134,664546.510,165341.630,95.210
56-2018,4078439.132,1480970.422,4659308.289,718877.520,210006.560,96.150
86-4322,4027628.783,1445124.721,4714170.535,701582.630,291103.510,170.320
